action	view	status	input_path	render_path	visual_validation
combat_axe_heavy	third_person	asset_only	none	none	pending
combat_axe_heavy_left	third_person	asset_only	none	none	pending
combat_axe_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_axe_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_counter	third_person	asset_only	none	none	pending
combat_counter_left	third_person	asset_only	none	none	pending
combat_dodge_back	third_person	asset_only	none	none	pending
combat_dodge_forward	third_person	asset_only	none	none	pending
combat_dodge_left	third_person	asset_only	none	none	pending
combat_dodge_right	third_person	asset_only	none	none	pending
combat_guard	third_person	asset_only	none	none	pending
combat_lock_on	third_person	asset_only	none	none	pending
combat_mace_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_charge	third_person	asset_only	none	none	pending
combat_mace_charge_left	third_person	asset_only	none	none	pending
combat_mace_heavy	third_person	asset_only	none	none	pending
combat_mace_heavy_left	third_person	asset_only	none	none	pending
combat_mace_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_mace_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_parry	third_person	asset_only	none	none	pending
combat_spear_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_charge	third_person	asset_only	none	none	pending
combat_spear_charge_left	third_person	asset_only	none	none	pending
combat_spear_heavy	third_person	asset_only	none	none	pending
combat_spear_heavy_left	third_person	asset_only	none	none	pending
combat_spear_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_spear_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_charge	third_person	asset_only	none	none	pending
combat_sword_charge_left	third_person	asset_only	none	none	pending
combat_sword_heavy	third_person	asset_only	none	none	pending
combat_sword_heavy_left	third_person	asset_only	none	none	pending
combat_sword_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_sword_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_charge	third_person	asset_only	none	none	pending
combat_tool_charge_left	third_person	asset_only	none	none	pending
combat_tool_heavy	third_person	asset_only	none	none	pending
combat_tool_heavy_left	third_person	asset_only	none	none	pending
combat_tool_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_tool_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_charge	third_person	asset_only	none	none	pending
combat_trident_charge_left	third_person	asset_only	none	none	pending
combat_trident_heavy	third_person	asset_only	none	none	pending
combat_trident_heavy_left	third_person	asset_only	none	none	pending
combat_trident_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_trident_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_air_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_air_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_air_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_air_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_charge	third_person	asset_only	none	none	pending
combat_unarmed_charge_left	third_person	asset_only	none	none	pending
combat_unarmed_heavy	third_person	asset_only	none	none	pending
combat_unarmed_heavy_left	third_person	asset_only	none	none	pending
combat_unarmed_light_1	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_light_1_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_light_2	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_light_2_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_light_3	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
combat_unarmed_light_3_left	third_person	wired_not_playtested	MultiPlayerGameMode.attack RETURN -> ClientBootstrap.attack -> CombatActionController -> pendingActions -> sample (local only)	PlayerInstance -> playOverlay(upper/) -> native scene -> RenderFeature	pending
fp_attack_axe	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_axe_critical	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_axe_critical_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_axe_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_mace	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_mace_critical	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_mace_critical_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_mace_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_mace_smash	first_person	asset_only	none	none	pending
fp_attack_mace_smash_left	first_person	asset_only	none	none	pending
fp_attack_spear	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_spear_critical	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_spear_critical_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_spear_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_stab	first_person	wired_not_playtested	STAB hand swing -> VanillaActionSampler.sample	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_stab_left	first_person	wired_not_playtested	STAB hand swing -> VanillaActionSampler.sample	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_swing	first_person	asset_only	none	none	pending
fp_attack_swing_left	first_person	asset_only	none	none	pending
fp_attack_sword	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_sword_critical	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_sword_critical_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_sword_left	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_sword_sweep	first_person	asset_only	none	none	pending
fp_attack_sword_sweep_left	first_person	asset_only	none	none	pending
fp_attack_tool	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
fp_attack_tool_critical	first_person	wired_not_playtested	hand swing fallback -> VanillaActionSampler.sample (critical is inferred)	tick playback -> fp_ clip -> FirstPersonInstance -> submitHandsWithItems -> RenderFeature	pending
